태풍번호,태풍명,최저 기압(hpa),최대풍속(10분 평균 m/s)
201117,네삿(NESAT),950,43
201116,선까(SONCA),970,36
201115,로키(ROKE),940,46
201114,꿀랍(KULAP),998,18
201113,노루(NORU),992,22
201112,탈라스(TALAS),965,38
201111,난마돌(NANMADOL),920,53
201110,므르복(MERBOK),980,31
201109,무이파(MUIFA),930,50
201108,녹텐(NOCK-TEN),985,27
201107,도카게(TOKAGE),1000,18
201106,망온(MA-ON),935,48
201105,메아리(MEARI),970,36
201104,하이마(HAIMA),990,24
201103,사리카(SARIKA),996,19
201102,송다(SONGDA),920,53
201101,에어리(AERE),990,24
201014,차바(CHABA),935,48
201013,메기(MEGI),890,61
201012,말라카스(MALAKAS),955,41
201011,파나피(FANAPI),935,48
201010,므란티(MERANTI),990,24
201009,말로(MALOU),990,24
201008,남테운(NAMTHEUN),995,20
201007,곤파스(KOMPASU),960,40
201006,라이언록(LIONROCK),985,27
201005,민들레(MINDULLE),990,24
201004,뎬무(DIANMU),980,31
201003,찬투(CHANTHU),970,36
201002,꼰선(CONSON),975,34
201001,오마이스(OMAIS),998,18
200922,니다(NIDA),905,57
200921,미리내(MIRINAE),955,41
200920,루핏(LUPIT),930,50
200919,네파탁(NEPARTAK),992,27
200918,멜로르(MELOR),910,55
200917,파마(PARMA),920,53
200916,켓사나(KETSANA),960,40
200915,곳푸(KOPPU),980,31
200914,초이완(CHOI-WAN),915,54
200913,무지개(MUJIGAE),994,18
200912,두쥐안(DUJUAN),980,31
200911,크로반(KROVANH),945,45
200910,밤꼬(VAMCO),990,24
200909,아타우(ETAU),990,24
200908,모라꼿(MORAKOT),955,41
200907,고니(GONI),990,24
200906,몰라베(MOLAVE),975,31
200905,사우델로르(SOUDELOR),996,18
200904,낭카(NANGKA),994,21
200903,린파(LINFA),975,34
200902,찬홈(CHAN-HOM),960,40
200901,구지라(KUJIRA),940,46
200822,돌핀(DOLPHIN),970,36
200821,노을(NOUL),996,21
200820,하이선(HAISHEN),1006,18
200819,마이삭(MAYSAK),985,26
200818,바비(BAVI),990,23
200817,히고스(HIGOS),998,21
200816,메칼라(MEKKHALA),980,27
200815,장미(JANGMI),910,59
200814,하구핏(HAGUPIT),935,48
200813,실라코(SINLAKU),935,48
200812,누리(NURI),955,39
200811,봉퐁(VONGFONG),992,20
200810,판폰(PHANFONE),996,21
200809,간무리(KAMMURI),975,25
200808,풍웡(FUNG-WONG),960,38
200807,갈매기(KALMAEGI),960,39
200806,펑선(FENGSHEN),945,46
200805,나크리(NAKRI),930,49
200804,할롱(HALONG),975,30
200803,마트모(MATMO),994,23
200802,람마순(RAMMASUN),915,54
200801,너구리(NEOGURI),960,39
200724,하기비스(HAGIBIS),970,35
200723,미탁(MITAG),955,41
200722,타파(TAPAH),996,18
200721,페이파(PEIPAH),970,35
200720,파사이(FAXAI),984,28
200719,가지키(KAJIKI),950,43
200718,링링(LINGLING),994,21
200717,버들(PODUL),990,18
200716,하이옌(HAIYAN),998,18
200715,크로사(KROSA),920,51
200714,레끼마(LEKIMA),975,30
200713,프란시스코(FRANCISCO),990,23
200712,위파(WIPHA),930,51
200711,나리(NARI),940,48
200710,다나스(DANAS),994,25
200709,피토(FITOW),965,35
200708,스팟(SEPAT),910,55
200707,우딥(WUTIP),990,21
200706,파북(PABUK),975,31
200705,우사기(USAGI),945,45
200704,마니(MAN-YI),930,49
200703,도라지(TORAJI),996,17
200702,위투(YUTU),935,49
200701,콩레이(KONG-REY),960,39
200623,짜미(TRAMI),1000,18
200622,우토르(UTOR),945,43
200621,두리안(DURIAN),925,51
200620,제비(CHEBI),930,51
200619,시마론(CIMARON),910,54
200618,솔릭(SOULIK),955,39
200617,룸비아(RUMBIA),985,23
200616,버빙카(BEBINCA),990,21
200615,상산(XANGSANE),940,44
200614,야기(YAGI),910,57
200613,산산(SHANSHAN),925,52
200612,이오케(IOKE),920,54
200611,소나무(SONAMU),992,21
200610,우쿵(WUKONG),980,23
200609,보파(BOPHA),980,28
200608,사오마이(SAOMAI),925,47
200607,마리아(MARIA),975,29
200606,쁘라삐룬(PRAPIROON),965,35
200605,개미(KAEMI),955,39
200604,빌리스(BILIS),970,31
200603,에위니아(EWINIAR),920,51
200602,즐라왓(JELAWAT),994,21
200601,짠쯔(CHANCHU),930,46
200523,볼라벤(BOLAVEN),975,31
200522,덴빈(TEMBIN),1000,18
200521,카이탁(KAI-TAK),960,36
200520,기러기(KIROGI),935,46
200519,룽왕(LONGWANG),930,49
200518,담레이(DAMREY),960,36
200517,사오라(SAOLA),950,41
200516,비센티(VICENTE),990,21
200515,카눈(KHANUN),945,43
200514,나비(NABI),925,49
200513,탈림(TALIM),925,49
200512,구촐(GUCHOL),980,28
200511,마와르(MAWAR),930,49
200510,상우(SANVU),985,25
200509,맛사(MATSA),955,41
200508,와시(WASHI),985,23
200507,바냔(BANYAN),980,28
200506,날개(NALGAE),990,23
200505,하이탕(HAITANG),915,54
200504,네삿(NESAT),940,43
200503,선까(SONCA),940,45
200502,로키(ROKE),985,26
200501,꿀랍(KULAP),985,26
200429,노루(NORU),990,21
200428,탈라스(TALAS),992,21
200427,난마돌(NANMADOL),940,43
200426,므르복(MERBOK),998,18
200425,무이파(MUIFA),955,41
200424,녹텐(NOCK-TEN),945,45
200423,도카게(TOKAGE),940,44
200422,망온(MA-ON),920,51
200421,메아리(MEARI),940,46
200420,하이마(HAIMA),996,21
200419,사리카(SARIKA),980,28
200418,송다(SONGDA),935,46
200417,에어리(AERE),955,41
200416,차바(CHABA),910,57
200415,메기(MEGI),970,33
200414,말라카스(MALAKAS),992,21
200413,라나님(RANANIM),950,41
200412,머란티(MERANTI),960,39
200411,말로우(MALOU),996,21
200410,남테우른(NAMTHEUN),945,44
200409,곤파스(KOMPASU),992,23
200408,팅팅(TINGTING),950,41
200407,민들레(MINDULLE),940,46
200406,디앤무(DIANMU),915,55
200405,찬투(CHANTHU),970,33
200404,콘손(CONSON),960,39
200403,오마이스(OMAIS),990,23
200402,니다(NIDA),940,46
